0.4000000000000003 ps 
1099.72 -389.18 -504.375
-231.802 -179.221 98.8909
-782.649 584.195 374.517
-826.37 -310.892 596.617
394.122 43.6169 48.8925
271.689 631.445 -696.848
143.955 -945.264 -757.534
411.591 634.272 253.103
-512.946 355.809 331.24
-19.4228 -1617.47 533.166
-144.187 1247.03 44.7317
65.4521 338.839 -491.585
1001.1 -1541.99 545.853
-868.351 416.199 -209.875
-109.014 967.87 -328.056
-885.432 520.841 87.1217
759.447 -137.547 -352.952
419.602 -571.052 332.287
-1117.56 177.191 -1178.43
638.725 -463.032 206.387
618.502 279.795 916.115
-575.435 -442.528 -673.754
329.235 864.57 124.38
448.949 -192.07 642.623
-1442.01 -158.933 148.052
362.157 309.589 75.9151
1087.41 -171.055 -340.167
-168.46 281.864 -1377.17
-112.428 -553.669 1149.26
730.947 214.205 565.855
-145.803 41.6116 1019.98
274.415 -435.238 -326.46
-159.68 249.762 -573.841
-764.248 1234.29 -529.138
111.129 -772.504 927.666
674.06 -444.675 -361.024
-761.303 -851.626 491.749
839.276 553.084 -139.232
-91.5697 406.555 -332.3
1763.21 634.653 -934.248
-963.115 232.527 665.505
-519.742 -947.061 147.171
-953.136 -514.224 634.808
880.868 767.409 -105.989
227.634 -88.2756 -395.08
2089.4 -57.4922 -139.897
-865.675 488.627 177.797
-1240.06 -269.256 -61.1772
-993.096 -829.373 628.227
758.282 914.276 -190.2
393.972 -122.3 -618.223
-151.096 -428.694 2200.76
612.901 72.847 -1208.02
-586.91 356.578 -626.958
-591.187 -113.3 949.158
96.0288 55.4971 -728.189
700.184 9.959 -328.398
554.207 -634.723 1594.5
-533.334 -108.033 -1090.67
-20.2665 847.93 -585.998
-250.509 -1351.04 407.97
836.449 443.941 -302.182
-360.761 1052.2 -275.012
-81.3035 507.055 -562.523
73.0113 -199.898 428.999
421.34 -386.983 262.094
-112.658 373.144 -1648.81
1.16063 -566.288 1310.74
-47.6023 309.136 685.416
-1249.32 335.528 -140.735
792.886 -250.126 548.486
416.76 -36.8711 -256.029
-1087.83 -647.8 -979.673
952.915 -42.7311 335.307
-324.08 371.656 354.066
803.716 959.376 140.013
-838.59 -238.486 -134.969
-212.243 -914.532 -93.3701
150.353 233.37 1853.57
-572.88 -614.417 -829.078
455.082 402.121 -817.287
1469.84 127.076 -64.4296
-781.898 -38.351 -261.023
-875.057 -89.2525 243.625
1624.99 -561.776 -879.025
-287.099 892.007 298.793
-1106.63 -241.373 515.095
27.9989 -1176.92 752.86
-328.223 384.294 -593.068
448.621 639.209 -161.697
-1471.73 -184.777 76.8212
920.171 -415.492 -240.074
372.746 276.915 105.323
541.871 1367.57 757.9
-631.594 -873.717 110.727
-75.8157 -357.642 -1060.5
424.809 1139.72 -218.494
-666.271 -533.495 340.978
61.1597 -647.856 -281.839
